Model,Train_R2,Test_R2,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Train_MAPE,Test_MAPE,R2_Gap
Linear Regression,0.3680748716427187,0.3858021517650996,530.8457388358732,506.7744563761265,400.2960989036201,382.61994002042826,300.0973001974778,313.23252518668625,-0.017727280122380895
Random Forest,0.984090351680899,0.8994314458790285,84.22980839612332,205.06506229412827,49.984943909630545,122.14932278468326,14.536771408723267,34.49401439831232,0.08465890580187052
XGBoost,0.9966511130332947,0.8958778381347656,38.64423728313592,208.65661271872023,25.681711196899414,124.01260375976562,11.183673096453429,36.17042374017787,0.10077327489852905
